Passenger ID,Gender,Age,Flight Class,Seat Comfort,Departure/Arrival Time Conv.,Food and Drink,Inflight Entertainment,Leg Room Service,Baggage Handling,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
123,F,48,Economy,5,4,5,2,1,5,2,95,113,Satisfied
124,F,44,Business,4,4,3,4,3,2,2,25,87,Unsatisfied
125,M,35,Premium Economy,2,5,1,5,3,1,3,27,3,Satisfied
126,F,29,Economy,1,5,4,2,1,1,3,51,118,Neutral
127,F,76,First Class,2,5,4,2,4,3,3,17,54,Unsatisfied
128,F,54,Economy,3,5,2,3,2,4,3,25,6,Satisfied
129,F,60,Premium Economy,3,4,4,5,3,4,3,114,41,Neutral
130,F,69,First Class,4,5,3,3,4,3,1,84,20,Satisfied
131,M,49,Business,4,5,2,1,1,1,5,105,19,Satisfied
132,M,56,First Class,4,5,1,3,1,1,3,53,63,Unsatisfied
133,F,20,Economy,3,3,1,1,5,4,4,12,96,Unsatisfied
134,M,33,Economy,2,1,5,3,5,5,5,77,5,Unsatisfied
135,M,75,Economy,5,3,3,3,3,2,5,35,113,Unsatisfied
136,F,21,Economy,2,5,4,2,2,5,1,47,116,Unsatisfied
137,M,80,Economy,5,5,4,1,2,2,3,55,60,Neutral
138,M,57,Premium Economy,3,4,5,2,2,4,1,101,33,Satisfied
139,F,44,First Class,1,3,5,4,4,2,3,34,77,Unsatisfied
140,F,37,Business,1,5,1,4,2,2,4,113,87,Satisfied
141,M,71,Premium Economy,3,5,4,2,3,5,4,87,88,Neutral
142,M,38,Premium Economy,1,4,4,3,3,3,5,78,21,Neutral
143,M,67,Business,5,3,2,2,2,5,4,95,16,Neutral
144,M,43,Economy,3,2,3,5,2,2,3,49,66,Satisfied
145,F,45,Premium Economy,3,2,3,1,4,3,5,85,30,Satisfied
146,F,18,Economy,2,2,3,1,3,1,2,100,118,Satisfied
147,F,69,First Class,5,4,3,1,3,4,3,12,39,Unsatisfied
148,M,28,Business,2,2,2,1,2,1,1,75,78,Neutral
149,F,24,Economy,5,2,3,3,1,4,5,58,88,Unsatisfied
150,F,32,Business,2,5,5,3,1,5,3,95,67,Neutral
151,M,45,Economy,3,2,3,1,4,5,3,77,50,Satisfied
152,F,53,Economy,2,4,1,2,5,3,3,85,108,Unsatisfied
153,F,68,First Class,3,2,3,1,4,4,5,11,39,Satisfied
154,M,50,Economy,5,2,4,4,2,4,4,64,48,Neutral
155,M,65,Economy,3,2,3,1,5,4,2,119,73,Satisfied
156,M,59,First Class,4,3,5,4,2,4,5,36,50,Satisfied
157,F,46,Business,3,1,5,4,5,5,5,76,111,Neutral
158,M,37,Premium Economy,4,1,2,1,4,4,3,113,89,Unsatisfied
159,F,36,Business,1,4,4,5,3,5,2,66,25,Satisfied
160,F,32,First Class,1,1,2,2,4,1,5,87,89,Satisfied
161,F,76,Economy,1,1,1,2,5,2,5,91,50,Neutral
162,M,37,First Class,2,3,2,2,5,5,2,45,50,Satisfied
163,F,39,First Class,3,4,2,3,4,2,3,92,51,Satisfied
164,M,35,Premium Economy,4,1,2,1,4,2,4,106,102,Unsatisfied
165,F,20,Premium Economy,3,5,3,1,5,1,5,1,95,Neutral
166,F,67,First Class,1,4,5,4,4,3,1,29,56,Unsatisfied
167,F,63,First Class,1,1,3,4,1,4,1,111,87,Unsatisfied
168,M,48,Premium Economy,4,4,3,5,1,2,3,49,112,Satisfied
169,M,49,Economy,4,5,4,3,5,4,4,40,45,Satisfied
170,F,65,First Class,5,4,2,3,1,4,3,93,71,Unsatisfied
171,F,56,Premium Economy,4,1,1,4,1,1,5,1,68,Neutral
172,M,32,Economy,4,1,2,5,3,1,3,16,115,Neutral
173,M,60,Economy,3,3,4,4,1,5,2,95,99,Satisfied
174,F,62,Premium Economy,1,4,5,2,3,2,3,92,114,Satisfied
175,M,74,Economy,5,1,2,4,5,2,1,53,110,Unsatisfied
176,F,31,Business,5,5,3,2,1,5,5,31,30,Neutral
177,F,45,First Class,1,1,2,5,1,3,1,60,90,Unsatisfied
178,M,24,Economy,5,1,5,1,5,4,1,75,96,Unsatisfied
179,M,55,First Class,5,3,4,1,3,4,2,23,118,Unsatisfied
180,F,59,Economy,1,3,5,5,1,4,5,19,82,Unsatisfied
181,F,62,First Class,4,2,3,2,3,3,2,20,21,Unsatisfied
182,M,19,Premium Economy,4,5,4,5,3,5,2,62,53,Satisfied
183,F,80,Premium Economy,5,3,3,4,4,1,1,62,23,Unsatisfied
184,M,21,Premium Economy,5,3,2,2,4,4,2,3,64,Satisfied
185,M,78,Economy,4,2,5,3,4,2,2,57,43,Satisfied
186,M,47,Business,1,2,1,1,2,3,5,112,99,Neutral
187,F,74,Business,3,5,4,2,5,4,3,109,76,Neutral
188,F,22,First Class,4,1,1,1,3,1,1,26,99,Unsatisfied
189,M,52,Premium Economy,1,1,5,1,3,5,3,97,110,Unsatisfied
190,M,60,First Class,1,5,5,3,3,2,3,49,37,Satisfied
191,F,60,Business,5,2,4,2,2,5,4,19,35,Neutral
192,F,73,Business,2,3,5,1,3,1,3,6,102,Neutral
193,F,31,First Class,3,5,4,3,5,3,4,48,39,Satisfied
194,F,58,Business,5,1,3,4,1,1,1,67,18,Unsatisfied
195,M,40,Premium Economy,4,2,1,4,1,1,4,52,4,Unsatisfied
196,F,68,Premium Economy,2,1,4,5,4,1,2,113,35,Neutral
197,F,77,Business,2,4,3,5,2,1,5,86,86,Satisfied
198,F,55,Economy,2,2,1,4,4,3,2,50,88,Neutral
199,F,69,First Class,4,4,5,2,5,2,4,79,4,Satisfied
200,F,73,Business,3,4,2,5,2,1,4,13,82,Unsatisfied
201,F,71,First Class,4,5,2,4,5,5,1,77,9,Satisfied
202,M,19,Economy,4,5,4,4,3,1,1,117,115,Neutral
203,M,57,First Class,3,3,1,5,2,5,4,51,49,Unsatisfied
204,F,59,First Class,1,2,4,2,1,3,5,41,34,Satisfied
205,F,40,Economy,1,2,4,5,1,5,5,63,66,Neutral
206,M,64,Business,2,4,3,2,5,2,3,29,94,Neutral
207,M,79,Economy,4,2,1,2,5,5,3,53,109,Satisfied
208,M,21,Business,1,2,3,5,5,4,1,65,24,Neutral
209,F,41,Business,1,1,3,3,5,3,3,56,34,Unsatisfied
210,M,19,Business,5,1,1,3,1,5,4,4,12,Satisfied
211,F,34,Premium Economy,3,2,5,3,2,5,1,8,99,Unsatisfied
212,F,45,Business,4,4,1,4,5,3,1,63,18,Satisfied
213,F,53,First Class,1,1,4,2,3,4,4,23,43,Unsatisfied
214,F,31,Premium Economy,2,3,5,3,1,5,5,47,69,Unsatisfied
215,F,80,Economy,1,1,2,3,4,4,3,108,41,Unsatisfied
216,M,50,Economy,1,1,1,3,5,2,5,0,57,Unsatisfied
217,M,40,Premium Economy,5,3,2,1,5,1,2,38,29,Satisfied
218,M,19,Business,2,1,2,3,5,5,1,45,70,Unsatisfied
219,F,52,Business,2,2,3,2,4,2,1,38,114,Unsatisfied
220,M,24,First Class,5,2,1,5,5,5,3,104,64,Satisfied
221,M,52,Premium Economy,4,4,4,3,1,1,1,109,43,Satisfied
222,F,55,Economy,1,1,3,4,4,3,1,55,33,Satisfied
223,F,70,Economy,1,1,2,5,3,4,1,67,118,Satisfied
224,M,39,Business,3,5,5,5,3,3,2,81,63,Unsatisfied
225,F,39,First Class,3,4,3,2,4,3,4,40,115,Satisfied
226,M,74,Premium Economy,5,3,2,1,5,2,1,66,78,Unsatisfied
227,M,41,Business,1,4,3,4,2,4,2,22,50,Satisfied
228,F,35,Business,3,5,2,5,2,5,5,104,60,Unsatisfied
229,F,24,First Class,5,3,4,2,2,2,3,119,82,Unsatisfied
230,F,25,Premium Economy,5,2,4,5,5,1,2,22,86,Satisfied
231,F,65,Premium Economy,4,4,2,1,2,2,2,48,3,Satisfied
232,F,37,First Class,5,1,5,4,1,1,4,66,10,Unsatisfied
233,F,41,First Class,2,1,3,5,1,4,2,63,0,Satisfied
234,F,57,First Class,3,3,1,3,4,1,1,3,2,Unsatisfied
235,M,41,Business,4,1,4,3,2,1,4,37,14,Satisfied
236,F,71,Premium Economy,4,5,3,1,4,3,5,44,15,Satisfied
237,M,66,Economy,1,4,2,2,5,2,5,82,0,Neutral
238,F,64,Economy,3,1,2,4,1,3,4,7,76,Satisfied
239,F,69,First Class,4,2,5,1,1,5,2,99,54,Satisfied
240,F,57,Economy,1,4,5,2,2,1,1,12,0,Satisfied
241,F,39,Premium Economy,2,5,3,4,2,2,4,11,112,Satisfied
242,F,67,Business,1,1,2,1,1,4,2,120,63,Satisfied
243,M,55,Economy,5,1,2,5,5,3,3,103,96,Neutral
244,M,34,Premium Economy,1,3,1,2,1,2,5,6,63,Satisfied
245,F,32,Economy,5,1,3,4,4,1,4,8,111,Satisfied
246,F,56,First Class,1,5,3,4,3,3,5,87,48,Satisfied
247,M,51,Premium Economy,4,4,4,3,4,3,2,100,49,Satisfied
248,M,27,Economy,4,4,3,3,3,4,1,107,17,Unsatisfied
249,M,51,Premium Economy,4,5,4,2,5,2,1,44,22,Satisfied
250,F,66,Economy,5,3,3,2,3,1,1,49,14,Unsatisfied
251,M,41,Economy,1,1,4,1,3,2,4,83,120,Unsatisfied
252,M,27,Business,1,5,5,1,2,1,1,87,112,Unsatisfied
253,F,66,Economy,5,2,3,4,2,3,1,71,81,Unsatisfied
254,F,18,Business,4,5,5,5,1,1,4,103,33,Unsatisfied
255,M,25,Premium Economy,2,4,2,1,4,4,2,70,35,Unsatisfied
256,M,26,Business,2,3,3,1,4,5,4,106,14,Satisfied
257,F,64,First Class,4,4,1,2,3,2,3,27,88,Satisfied
258,F,69,Business,1,1,3,3,1,2,4,100,107,Satisfied
259,M,63,Business,4,3,5,3,5,3,1,71,35,Satisfied
260,F,68,Premium Economy,4,5,3,2,3,3,5,16,7,Satisfied
261,F,57,First Class,1,5,2,4,3,4,2,38,31,Neutral
262,F,52,First Class,2,2,5,5,1,3,1,70,69,Neutral
263,M,56,Economy,3,2,2,1,2,2,2,1,59,Neutral
264,F,72,Premium Economy,1,1,1,2,2,1,3,46,93,Satisfied
265,F,50,Business,3,1,4,4,4,2,5,98,99,Neutral
266,M,65,Premium Economy,2,5,3,2,4,2,4,94,3,Satisfied
267,F,24,Economy,3,4,4,4,2,5,4,70,19,Neutral
268,M,62,First Class,4,1,2,2,5,2,5,105,95,Neutral
269,M,18,Economy,3,3,5,1,2,1,2,46,89,Neutral
270,M,34,Premium Economy,3,3,4,1,4,1,1,93,39,Satisfied
271,M,48,First Class,1,2,1,3,2,5,2,7,109,Unsatisfied
272,M,19,First Class,3,3,3,3,3,5,5,2,79,Unsatisfied
273,M,26,Premium Economy,3,3,5,5,2,1,3,35,109,Satisfied
274,M,31,First Class,4,1,2,5,4,2,1,55,19,Satisfied
275,F,70,Premium Economy,1,2,1,5,2,3,3,6,84,Unsatisfied
276,M,29,Economy,4,3,3,1,5,5,3,72,40,Satisfied
277,M,75,Economy,2,3,5,5,5,1,1,40,83,Neutral
278,F,26,Business,3,3,2,4,3,1,3,55,37,Neutral
279,M,26,First Class,2,1,1,2,5,4,3,64,26,Unsatisfied
280,F,77,First Class,3,5,1,3,1,4,4,75,82,Unsatisfied
281,M,53,First Class,2,4,3,4,5,3,2,77,20,Satisfied
282,M,34,Economy,3,1,1,5,2,4,1,25,98,Neutral
283,F,68,First Class,1,2,2,1,5,1,3,56,36,Satisfied
284,M,30,Premium Economy,3,3,4,3,5,1,3,4,84,Satisfied
285,F,44,Business,3,2,4,4,4,3,2,73,32,Unsatisfied
286,M,50,Business,2,4,2,1,2,5,2,9,77,Satisfied
287,F,73,Premium Economy,4,2,4,1,5,1,5,39,76,Neutral
288,F,68,First Class,5,3,4,1,5,2,1,95,48,Satisfied
289,F,57,Business,3,2,2,4,1,3,4,1,80,Unsatisfied
290,M,41,Business,5,4,1,2,2,4,1,95,106,Satisfied
291,F,26,Economy,2,4,3,5,5,5,2,8,91,Neutral
292,F,41,Economy,4,4,4,5,4,2,2,47,66,Neutral
293,F,71,Economy,3,5,2,2,4,1,5,71,18,Unsatisfied
294,F,57,Business,1,2,2,4,4,1,4,109,33,Unsatisfied
295,M,58,First Class,2,5,5,2,3,1,4,85,0,Neutral
296,M,20,Economy,2,3,2,2,4,3,1,85,70,Unsatisfied
297,F,35,Premium Economy,4,3,3,5,1,2,5,8,119,Neutral
298,M,67,Economy,4,5,5,3,1,1,3,79,99,Neutral
299,M,56,Economy,4,2,5,2,3,4,5,75,61,Neutral
300,F,60,Business,5,1,1,1,2,3,5,75,30,Satisfied
301,M,51,Premium Economy,4,2,3,5,2,5,4,91,115,Satisfied
302,F,79,Business,2,2,5,5,4,2,5,113,5,Satisfied
303,F,45,First Class,3,3,4,4,5,5,3,104,103,Satisfied
304,F,62,Premium Economy,1,4,5,3,3,5,3,48,100,Neutral
305,M,45,First Class,5,4,1,2,2,2,3,98,99,Satisfied
306,F,36,Premium Economy,4,1,4,4,4,3,5,39,24,Neutral
307,F,36,First Class,5,3,3,3,1,4,1,25,61,Satisfied
308,F,52,Premium Economy,3,2,3,1,5,4,2,43,8,Satisfied
309,M,77,Business,3,5,4,2,5,5,2,31,46,Satisfied
310,F,71,Premium Economy,2,1,5,3,4,3,2,45,6,Satisfied
311,M,40,Premium Economy,2,3,5,2,5,3,2,80,0,Satisfied
312,M,78,Premium Economy,4,4,1,5,1,5,2,81,108,Unsatisfied
313,M,70,First Class,3,5,1,3,4,4,2,77,66,Satisfied
314,F,24,First Class,5,2,1,2,3,4,1,100,110,Satisfied
315,M,35,Economy,4,3,1,3,2,4,3,95,6,Unsatisfied
316,M,56,Business,3,1,2,3,4,2,2,5,113,Satisfied
317,F,80,Economy,3,5,1,5,4,1,4,9,49,Unsatisfied
318,M,68,Premium Economy,4,3,1,2,2,2,5,103,27,Satisfied
319,F,37,First Class,1,1,4,3,4,5,1,119,50,Satisfied
320,F,49,Business,3,4,5,2,3,5,2,106,54,Neutral
321,F,29,Business,5,3,1,1,2,4,2,58,2,Unsatisfied
322,M,78,First Class,2,5,3,2,1,5,3,38,90,Satisfied
323,M,61,First Class,2,3,3,4,2,2,5,52,16,Neutral
324,M,65,Business,5,2,2,2,3,4,4,9,102,Unsatisfied
325,M,25,Economy,3,1,2,4,2,3,5,46,88,Unsatisfied
326,F,56,Premium Economy,2,2,1,4,4,2,3,49,93,Unsatisfied
327,M,75,Business,3,3,3,4,1,3,2,90,73,Satisfied
328,F,21,Business,1,2,3,5,5,5,1,97,110,Unsatisfied
329,F,80,Economy,3,3,1,5,2,2,5,104,70,Neutral
330,M,58,Business,5,3,5,5,3,5,1,105,105,Satisfied
331,F,71,Business,2,5,1,4,5,4,3,22,79,Neutral
332,M,35,First Class,5,5,3,2,2,3,1,11,102,Unsatisfied
333,M,41,Business,5,3,2,3,4,3,1,79,80,Satisfied
334,M,32,First Class,2,2,2,1,1,1,3,20,106,Satisfied
335,M,58,Business,3,3,5,4,2,5,5,78,111,Satisfied
336,F,68,Premium Economy,1,1,2,4,1,1,2,87,72,Unsatisfied
337,M,36,Premium Economy,4,5,3,4,1,5,2,36,106,Unsatisfied
338,M,67,Economy,2,3,4,5,1,3,3,27,116,Satisfied
339,M,60,Premium Economy,3,3,1,5,4,4,4,67,52,Satisfied
340,F,24,Premium Economy,4,3,4,1,2,2,4,3,93,Satisfied
341,M,73,Economy,3,1,2,4,2,4,3,63,3,Unsatisfied
342,F,38,Business,1,5,2,4,5,3,4,102,53,Satisfied
343,F,42,First Class,5,5,4,2,2,5,4,58,31,Neutral
344,M,29,Premium Economy,4,5,5,1,2,1,4,37,44,Neutral
345,F,43,Business,5,2,5,3,1,5,3,78,52,Satisfied
346,F,73,First Class,2,1,3,1,5,1,3,38,38,Unsatisfied
347,M,37,Premium Economy,3,4,2,5,5,3,4,79,63,Satisfied
348,M,49,Economy,2,1,5,3,3,3,1,46,72,Unsatisfied
349,M,32,Economy,1,5,3,3,5,5,2,44,5,Unsatisfied
350,F,67,Business,4,5,3,3,1,5,1,14,10,Unsatisfied
351,F,30,Premium Economy,4,5,5,5,4,3,4,19,73,Neutral
352,F,21,First Class,5,5,5,2,4,2,4,66,34,Satisfied
353,M,73,Premium Economy,3,1,2,3,2,3,1,93,49,Satisfied
354,F,61,First Class,1,1,4,5,3,5,2,85,16,Neutral
355,M,51,Premium Economy,4,4,2,3,5,5,4,75,49,Unsatisfied
356,F,48,Premium Economy,3,5,2,3,3,5,3,68,37,Neutral
357,M,59,Business,2,5,4,1,2,2,3,22,13,Satisfied
358,F,36,Economy,1,5,5,1,3,4,2,90,24,Unsatisfied
359,M,53,Premium Economy,5,2,5,1,1,1,2,77,116,Unsatisfied
360,F,45,Premium Economy,2,5,3,5,4,4,5,59,12,Neutral
361,M,80,First Class,5,1,3,2,3,4,2,36,8,Unsatisfied
362,F,73,Premium Economy,4,4,4,3,5,4,5,57,68,Satisfied
363,F,67,Business,1,4,1,1,2,3,3,36,47,Satisfied
364,M,42,Premium Economy,5,4,3,2,2,5,1,48,85,Neutral
365,M,45,Economy,4,2,3,5,4,2,5,46,87,Satisfied
366,M,21,Business,1,2,2,2,5,4,1,46,15,Unsatisfied
367,F,68,Premium Economy,2,1,1,4,3,1,4,80,110,Unsatisfied
368,M,49,Business,3,5,2,3,2,5,4,93,103,Satisfied
369,M,77,Economy,5,4,5,5,3,2,3,60,100,Satisfied
370,F,28,First Class,5,5,5,1,5,4,5,25,103,Unsatisfied
371,M,29,Business,3,1,5,3,4,2,2,106,97,Neutral
372,M,18,Premium Economy,3,4,2,2,5,3,2,11,59,Unsatisfied
373,F,50,Business,4,2,3,3,1,3,3,107,14,Neutral
374,F,54,Business,4,1,4,5,3,5,3,109,85,Satisfied
375,F,47,First Class,2,3,5,3,5,3,5,95,85,Satisfied
376,M,65,Premium Economy,3,3,2,5,3,2,2,20,107,Neutral
377,F,26,Economy,4,5,1,5,3,2,4,117,89,Satisfied
378,F,61,Business,4,4,3,2,3,3,4,43,60,Satisfied
379,M,75,Premium Economy,4,5,1,1,1,4,1,84,15,Unsatisfied
380,F,63,Economy,4,2,2,1,1,2,1,85,109,Unsatisfied
381,F,69,Business,2,5,4,3,4,4,5,100,113,Unsatisfied
382,F,77,Premium Economy,4,3,5,3,4,2,2,34,87,Unsatisfied
383,M,21,Premium Economy,1,4,4,1,1,1,4,53,20,Satisfied
384,M,75,First Class,2,1,2,5,4,1,4,81,20,Satisfied
385,F,44,Premium Economy,4,3,5,5,2,3,4,1,105,Neutral
386,M,51,Premium Economy,2,2,4,4,3,3,5,34,36,Satisfied
387,F,66,Economy,1,4,5,4,3,1,5,82,110,Neutral
388,M,30,Economy,1,3,2,1,5,4,2,29,75,Neutral
389,F,70,First Class,1,1,1,2,2,3,2,44,108,Neutral
390,M,29,Economy,4,1,1,5,3,4,4,59,92,Neutral
391,M,48,First Class,1,5,1,4,2,3,3,119,77,Neutral
392,F,47,Premium Economy,5,3,5,5,4,2,3,55,23,Neutral
393,F,51,First Class,4,5,5,1,1,4,3,31,113,Satisfied
394,F,20,Economy,4,5,4,5,3,2,2,6,3,Satisfied
