Passenger ID,Gender_x,Age_x,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort_x,Leg Room Service_x,Cleanliness_x,Food and Drink_x,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling_x,Satisfaction_x,PassengerId,Gender_y,Age_y,Flight Class,Seat Comfort_y,Departure/Arrival Time Conv.,Food and Drink_y,Inflight Entertainment,Leg Room Service_y,Baggage Handling_y,Cleanliness_y,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction_y
31,Male,35,First-time,Business,Business,212,0,0.0,2,2,5,2,1,4,2,5,2,2,4,2,2,5,Neutral or Dissatisfied,31,M,37,Premium Economy,5,5,1,4,4,3,1,60,50,Neutral
32,Male,21,First-time,Business,Economy,173,0,0.0,0,4,3,4,4,5,3,5,3,3,4,4,3,4,Satisfied,32,F,18,Premium Economy,5,2,5,5,1,3,5,15,96,Satisfied
33,Female,33,First-time,Business,Business,173,22,28.0,2,2,5,2,5,3,2,3,2,2,5,2,2,5,Neutral or Dissatisfied,33,F,47,Economy,4,2,2,5,1,5,5,94,16,Unsatisfied
34,Female,48,Returning,Business,Business,173,0,0.0,5,0,5,5,4,5,4,5,4,3,5,0,5,5,Satisfied,34,M,45,Business,5,1,3,1,2,2,4,55,11,Satisfied
35,Male,39,Returning,Business,Business,1672,23,17.0,2,2,5,4,2,3,5,4,5,5,3,2,3,5,Satisfied,35,F,18,Business,4,2,2,3,2,5,1,19,21,Satisfied
36,Female,42,Returning,Business,Business,2884,0,0.0,2,5,3,4,5,5,5,5,4,2,5,5,5,5,Satisfied,36,M,26,Premium Economy,1,1,3,1,5,1,3,10,23,Satisfied
37,Female,54,Returning,Business,Business,212,12,26.0,4,4,5,5,4,4,4,4,4,5,4,4,4,5,Satisfied,37,F,51,First Class,2,5,4,5,5,5,2,106,0,Unsatisfied
38,Female,51,Returning,Business,Business,215,0,0.0,4,4,4,4,4,5,5,4,3,3,5,4,5,5,Satisfied,38,M,69,First Class,2,2,2,5,3,2,5,4,28,Satisfied
39,Female,46,Returning,Business,Business,67,0,0.0,3,3,5,5,3,4,4,4,5,4,4,3,4,4,Satisfied,39,F,75,Premium Economy,2,4,2,4,4,5,5,57,103,Satisfied
40,Male,51,Returning,Business,Business,212,0,0.0,2,2,3,4,2,5,4,4,5,2,5,2,5,4,Satisfied,40,M,22,Premium Economy,3,1,3,1,1,3,5,32,43,Neutral
41,Female,54,Returning,Business,Business,1554,59,70.0,2,2,3,4,2,4,4,4,5,2,4,2,4,4,Satisfied,41,F,43,Economy,3,3,1,3,4,1,1,14,23,Satisfied
42,Female,45,Returning,Business,Business,108,0,0.0,4,4,5,5,4,4,4,4,3,3,4,4,4,5,Satisfied,42,M,64,Business,4,4,4,1,1,2,2,27,101,Unsatisfied
43,Female,54,Returning,Business,Business,1584,0,8.0,2,2,4,4,2,4,4,4,4,4,4,2,4,4,Satisfied,43,F,39,Premium Economy,4,1,1,4,5,4,2,43,96,Satisfied
44,Male,51,Returning,Business,Business,2077,0,1.0,1,4,5,5,4,5,5,5,4,2,5,4,5,5,Satisfied,44,F,63,Premium Economy,2,3,3,5,3,5,5,31,70,Neutral
45,Male,56,Returning,Business,Business,173,30,14.0,5,0,4,5,3,4,4,3,5,2,4,0,4,3,Satisfied,45,M,64,Business,1,5,4,2,5,4,2,19,83,Satisfied
46,Female,23,First-time,Business,Economy,173,16,13.0,0,3,3,3,1,3,4,2,4,4,4,3,4,5,Neutral or Dissatisfied,46,M,54,Premium Economy,1,3,4,3,2,5,2,16,7,Satisfied
47,Male,24,First-time,Business,Business,108,0,0.0,4,0,5,4,4,4,2,2,4,4,5,0,4,5,Satisfied,47,M,48,Economy,4,1,4,5,1,3,4,79,88,Neutral
48,Female,40,First-time,Business,Business,212,29,41.0,3,3,2,3,3,1,4,2,5,5,2,3,5,3,Neutral or Dissatisfied,48,M,61,Business,1,4,5,2,2,2,1,51,78,Neutral
49,Male,20,First-time,Business,Economy,108,0,29.0,5,4,5,4,1,5,3,4,5,5,4,4,5,5,Neutral or Dissatisfied,49,M,60,Business,5,2,4,2,1,4,5,5,17,Unsatisfied
50,Male,27,First-time,Business,Business,108,0,0.0,4,4,5,4,4,3,5,4,5,5,5,4,5,4,Satisfied,50,M,36,Economy,4,4,3,5,1,3,2,96,60,Unsatisfied
51,Male,44,Returning,Business,Business,1859,0,0.0,2,4,3,5,2,5,5,5,4,5,5,2,5,5,Satisfied,51,M,46,First Class,3,1,5,2,4,1,1,66,93,Satisfied
52,Female,20,First-time,Business,Economy,67,2,10.0,0,4,3,4,1,4,5,5,5,5,4,4,5,5,Neutral or Dissatisfied,52,M,36,First Class,1,3,3,4,1,1,2,110,102,Neutral
53,Male,37,First-time,Business,Business,212,4,1.0,3,3,3,3,4,4,1,2,3,3,5,2,3,5,Neutral or Dissatisfied,53,F,34,Business,2,2,1,3,4,5,1,37,116,Unsatisfied
54,Male,40,Returning,Business,Business,2853,0,0.0,3,3,5,5,3,4,4,4,5,2,4,3,4,4,Satisfied,54,F,43,Business,1,1,2,3,3,2,4,95,0,Unsatisfied
55,Male,36,Returning,Business,Business,3655,40,71.0,1,1,4,3,1,3,3,3,2,1,3,1,3,1,Neutral or Dissatisfied,55,F,27,Economy,3,4,4,1,5,5,3,74,88,Neutral
56,Female,56,Returning,Business,Business,2485,0,0.0,2,2,5,5,2,4,4,5,3,5,4,2,4,5,Satisfied,56,F,22,Economy,4,5,1,2,2,4,2,23,34,Unsatisfied
57,Female,56,Returning,Business,Business,67,0,0.0,1,1,3,4,1,5,4,5,4,2,5,1,5,4,Satisfied,57,M,25,Economy,2,5,5,5,5,1,5,92,31,Satisfied
58,Female,43,Returning,Business,Business,2199,0,0.0,5,0,4,4,1,5,5,5,3,4,5,0,5,5,Satisfied,58,F,28,Premium Economy,3,1,4,2,5,5,4,64,70,Unsatisfied
59,Female,41,Returning,Business,Business,3997,1,0.0,1,1,5,4,1,4,5,4,4,4,4,1,4,5,Satisfied,59,M,24,First Class,4,2,5,4,5,2,2,21,32,Unsatisfied
60,Male,57,Returning,Business,Business,3392,19,34.0,1,1,3,5,1,4,5,4,5,5,4,1,4,5,Satisfied,60,M,31,First Class,4,2,5,3,5,1,4,53,74,Satisfied
61,Male,42,Returning,Business,Business,3391,0,0.0,3,3,5,5,3,4,4,4,3,2,4,3,4,5,Satisfied,61,M,38,First Class,2,5,1,2,1,2,5,103,55,Unsatisfied
62,Male,31,Returning,Business,Economy,173,151,186.0,5,5,2,2,5,4,2,3,2,2,3,2,1,4,Neutral or Dissatisfied,62,F,69,Economy,4,4,3,5,3,3,4,120,84,Satisfied
63,Female,37,Returning,Business,Business,2423,0,8.0,4,4,1,4,4,2,4,2,4,3,2,3,2,3,Neutral or Dissatisfied,63,F,52,First Class,2,3,1,1,2,1,2,69,8,Neutral
64,Male,56,Returning,Business,Business,173,0,3.0,1,1,5,5,1,3,4,4,5,5,3,1,3,5,Satisfied,64,M,52,Business,2,4,2,3,3,1,4,60,102,Satisfied
65,Male,24,First-time,Business,Economy,108,0,0.0,0,0,3,0,1,5,5,5,5,5,5,0,5,4,Satisfied,65,M,46,Premium Economy,5,2,1,1,5,2,1,81,44,Neutral
66,Male,36,Returning,Business,Business,173,12,8.0,5,5,2,3,5,3,3,3,3,4,3,1,3,1,Neutral or Dissatisfied,66,M,66,First Class,1,3,5,2,2,1,2,22,115,Satisfied
67,Male,50,Returning,Business,Business,67,0,0.0,4,4,4,4,4,5,5,5,5,2,5,4,5,5,Satisfied,67,F,40,Economy,4,1,1,5,3,3,2,39,16,Satisfied
68,Male,43,Returning,Business,Business,173,0,0.0,5,5,2,3,5,2,3,2,4,4,2,4,2,4,Neutral or Dissatisfied,68,M,45,Economy,5,1,4,1,2,3,5,27,96,Satisfied
69,Male,52,Returning,Business,Business,212,0,67.0,1,3,4,3,1,1,3,1,4,4,1,3,1,3,Neutral or Dissatisfied,69,M,41,Premium Economy,4,3,4,5,2,2,3,4,3,Neutral
70,Female,49,Returning,Business,Business,3213,68,59.0,3,3,1,4,3,1,4,1,3,3,1,4,1,4,Neutral or Dissatisfied,70,M,67,First Class,3,5,3,1,4,3,5,33,107,Unsatisfied
71,Female,47,First-time,Business,Economy,173,0,14.0,4,1,4,1,1,5,3,5,3,3,4,1,3,1,Neutral or Dissatisfied,71,F,80,Premium Economy,4,1,3,3,4,3,5,96,108,Satisfied
72,Male,53,Returning,Business,Business,3201,7,24.0,2,2,3,3,2,2,3,1,1,3,2,3,2,3,Neutral or Dissatisfied,72,M,31,Premium Economy,2,2,1,5,5,1,2,40,118,Satisfied
73,Male,70,Returning,Business,Economy,173,0,0.0,5,5,3,5,5,3,5,2,5,5,4,5,5,1,Satisfied,73,M,32,Premium Economy,4,5,5,5,2,1,1,109,24,Neutral
74,Female,25,First-time,Business,Economy,212,10,1.0,2,3,1,3,4,1,3,2,4,4,4,3,4,3,Neutral or Dissatisfied,74,M,71,First Class,4,4,4,4,4,5,4,67,109,Satisfied
75,Female,23,First-time,Business,Economy,108,0,0.0,5,1,5,1,2,4,2,2,2,2,2,2,2,4,Neutral or Dissatisfied,75,M,55,Premium Economy,1,3,5,3,4,3,4,73,117,Neutral
76,Male,55,First-time,Business,Economy,108,0,0.0,0,4,4,4,5,5,5,2,4,4,2,5,4,5,Satisfied,76,F,61,Business,1,4,3,5,3,3,2,40,72,Neutral
77,Female,72,First-time,Business,Economy,67,324,296.0,3,3,2,2,4,4,2,4,2,3,2,3,3,3,Neutral or Dissatisfied,77,M,56,Business,5,3,5,3,1,3,3,86,13,Unsatisfied
78,Male,58,Returning,Personal,Economy,173,0,4.0,4,4,1,4,3,4,2,3,2,2,5,4,2,4,Satisfied,78,F,59,First Class,3,4,2,5,1,4,1,75,44,Unsatisfied
79,Female,70,Returning,Personal,Economy,108,50,41.0,4,0,5,4,3,3,4,0,5,4,3,5,3,3,Satisfied,79,F,46,Premium Economy,3,3,2,4,2,5,2,105,62,Unsatisfied
80,Female,46,Returning,Personal,Economy,173,45,29.0,1,1,1,3,3,5,4,1,3,1,5,1,5,5,Neutral or Dissatisfied,80,M,39,Premium Economy,4,1,4,4,5,1,2,116,42,Unsatisfied
81,Female,19,Returning,Personal,Economy,215,0,0.0,3,2,5,2,3,5,1,2,1,1,5,2,1,2,Neutral or Dissatisfied,81,M,74,Economy,3,3,3,4,2,1,5,79,66,Satisfied
82,Male,39,Returning,Personal,Economy,108,0,7.0,2,1,2,1,4,3,2,1,2,2,4,1,2,4,Neutral or Dissatisfied,82,F,30,Premium Economy,4,3,3,4,1,5,3,80,72,Unsatisfied
83,Male,58,Returning,Personal,Economy,215,254,254.0,2,2,4,4,4,2,4,3,4,2,3,2,3,4,Neutral or Dissatisfied,83,F,58,Business,1,3,2,1,3,3,4,111,74,Unsatisfied
84,Female,9,Returning,Personal,Economy,173,0,0.0,3,5,1,5,5,3,3,4,3,3,3,5,3,3,Satisfied,84,F,76,Economy,5,4,5,2,1,1,2,111,98,Neutral
85,Male,53,Returning,Personal,Economy,173,0,0.0,1,3,4,3,1,3,2,1,2,2,1,3,2,1,Neutral or Dissatisfied,85,F,54,Business,5,2,4,5,4,4,5,87,77,Satisfied
86,Female,27,Returning,Personal,Economy,212,0,13.0,0,3,5,3,4,3,1,4,1,1,5,3,1,5,Neutral or Dissatisfied,86,F,45,Economy,2,2,2,4,4,3,4,80,64,Neutral
87,Male,65,Returning,Personal,Economy,67,1,0.0,5,3,4,3,3,4,5,3,5,5,5,3,5,5,Neutral or Dissatisfied,87,M,55,Business,4,4,2,5,3,4,3,88,4,Satisfied
88,Female,52,Returning,Personal,Economy,67,2,0.0,5,2,5,4,1,1,4,2,4,3,1,2,1,1,Neutral or Dissatisfied,88,M,62,Business,3,2,1,3,1,4,4,77,37,Unsatisfied
89,Female,53,Returning,Personal,Economy,108,0,0.0,2,0,1,4,4,1,3,0,3,3,1,2,1,1,Neutral or Dissatisfied,89,M,67,Economy,2,1,2,4,5,1,4,105,8,Satisfied
90,Male,41,Returning,Business,Business,2865,72,78.0,2,4,4,4,2,5,4,5,3,3,5,2,5,5,Satisfied,90,F,46,Business,1,3,5,4,2,4,2,24,53,Neutral
91,Female,32,First-time,Business,Business,173,0,5.0,4,4,4,4,3,4,5,1,4,4,4,4,4,4,Neutral or Dissatisfied,91,F,56,Business,4,3,5,1,1,5,4,15,58,Satisfied
92,Female,50,Returning,Business,Business,2035,0,34.0,5,5,3,5,5,5,4,5,5,4,5,5,5,4,Satisfied,92,M,40,Business,4,2,4,1,2,2,2,119,73,Unsatisfied
93,Female,43,Returning,Business,Business,3513,101,123.0,2,2,2,3,2,1,3,1,1,2,1,1,1,1,Neutral or Dissatisfied,93,F,80,Premium Economy,3,3,5,1,2,4,2,120,68,Satisfied
94,Male,80,Returning,Business,Economy Plus,108,0,0.0,4,4,3,1,4,3,1,2,1,1,3,1,1,3,Neutral or Dissatisfied,94,M,30,Business,4,2,4,4,4,4,1,53,87,Unsatisfied
95,Female,7,Returning,Personal,Economy Plus,173,18,35.0,5,0,3,0,2,5,2,2,2,2,5,2,2,5,Neutral or Dissatisfied,95,M,69,First Class,5,4,2,2,2,3,4,56,97,Unsatisfied
96,Female,34,Returning,Personal,Economy Plus,173,0,0.0,4,0,3,0,2,5,3,5,3,3,4,2,3,4,Neutral or Dissatisfied,96,F,18,Premium Economy,3,2,3,5,3,1,3,114,51,Satisfied
97,Female,18,First-time,Business,Economy Plus,215,0,0.0,5,3,2,3,3,1,1,4,1,1,5,3,1,1,Neutral or Dissatisfied,97,F,23,Economy,5,5,5,3,1,3,5,107,59,Neutral
98,Male,44,Returning,Business,Business,562,0,11.0,4,4,3,4,4,4,5,4,5,3,4,4,4,4,Satisfied,98,F,21,Premium Economy,2,5,4,2,4,5,2,94,110,Unsatisfied
99,Female,52,Returning,Business,Business,562,27,18.0,5,5,4,4,5,4,5,4,3,3,4,5,4,4,Satisfied,99,F,76,Premium Economy,5,2,5,5,4,3,2,117,58,Satisfied
100,Female,23,First-time,Business,Economy,562,27,36.0,4,0,4,0,4,4,5,2,5,5,5,0,5,5,Satisfied,100,F,50,Business,4,3,4,3,2,5,4,93,82,Unsatisfied
101,Male,44,Returning,Business,Business,2992,0,0.0,1,1,3,4,1,4,4,4,3,5,4,1,4,4,Satisfied,101,M,55,Premium Economy,1,4,4,3,3,1,1,50,54,Neutral
102,Female,51,Returning,Business,Business,1970,0,0.0,3,3,4,4,3,4,4,5,4,2,4,3,4,4,Satisfied,102,M,57,Business,1,5,4,2,3,3,5,96,55,Satisfied
103,Male,44,Returning,Business,Business,1964,0,0.0,1,1,3,4,1,4,5,4,5,4,4,1,4,4,Satisfied,103,M,55,First Class,5,4,3,4,2,2,3,119,20,Satisfied
104,Male,42,Returning,Business,Business,3227,0,0.0,3,1,3,4,3,4,4,4,5,3,4,3,4,4,Satisfied,104,F,24,First Class,1,2,2,1,4,2,4,22,99,Unsatisfied
105,Female,55,Returning,Business,Business,2639,0,0.0,1,1,5,5,1,5,5,5,4,4,5,1,5,5,Satisfied,105,F,60,Premium Economy,3,1,4,1,4,2,3,110,14,Unsatisfied
106,Male,24,First-time,Business,Business,562,96,95.0,0,4,3,4,2,5,4,4,5,5,4,4,5,5,Satisfied,106,F,74,First Class,5,3,1,1,4,4,2,87,89,Satisfied
107,Male,47,Returning,Business,Business,3477,0,27.0,4,4,5,4,4,5,5,5,3,2,5,4,5,5,Satisfied,107,M,60,Business,2,4,3,1,3,1,2,7,48,Satisfied
108,Male,43,Returning,Business,Business,562,45,51.0,3,3,2,4,3,4,3,4,1,1,4,4,4,4,Neutral or Dissatisfied,108,M,41,First Class,5,3,1,4,4,1,4,62,87,Neutral
109,Female,72,Returning,Business,Business,1954,60,145.0,1,3,1,1,1,5,1,3,1,1,4,1,4,2,Neutral or Dissatisfied,109,F,41,Business,1,1,5,2,3,3,1,55,54,Unsatisfied
110,Female,27,First-time,Business,Business,562,0,0.0,5,5,5,5,3,4,2,5,2,2,5,5,2,4,Satisfied,110,F,23,Business,3,1,2,3,4,4,5,13,61,Satisfied
111,Female,39,Returning,Business,Business,2046,104,122.0,2,2,5,5,2,4,5,5,3,3,4,2,4,4,Satisfied,111,M,77,Business,4,5,2,5,2,1,5,63,14,Neutral
112,Female,11,First-time,Business,Economy,562,1,2.0,0,4,1,4,3,3,2,2,2,2,3,4,2,4,Neutral or Dissatisfied,112,F,27,Business,1,5,5,1,2,2,2,82,69,Neutral
113,Male,54,Returning,Business,Business,3389,32,40.0,2,5,3,4,2,4,4,4,3,2,4,4,4,4,Neutral or Dissatisfied,113,F,26,Business,2,1,2,1,4,4,2,88,59,Satisfied
114,Female,51,Returning,Business,Business,562,0,15.0,3,3,4,4,3,2,4,3,3,1,2,2,2,2,Neutral or Dissatisfied,114,F,51,First Class,1,4,3,1,4,1,5,21,60,Neutral
115,Female,12,First-time,Business,Business,562,11,25.0,2,3,3,3,3,3,2,4,2,2,3,3,2,3,Neutral or Dissatisfied,115,F,30,Premium Economy,1,3,5,2,3,1,4,58,93,Neutral
116,Female,26,First-time,Business,Business,562,0,8.0,2,2,1,2,3,1,4,1,3,3,3,2,3,3,Neutral or Dissatisfied,116,F,53,Economy,2,4,3,1,5,2,3,69,26,Neutral
117,Male,39,Returning,Business,Business,1553,0,0.0,4,4,5,3,4,5,3,5,5,1,5,4,5,4,Satisfied,117,M,76,Business,2,3,2,4,2,2,4,82,92,Neutral
118,Male,32,Returning,Business,Business,562,183,192.0,5,5,4,4,5,4,4,2,4,4,3,5,4,2,Satisfied,118,M,53,Premium Economy,3,1,1,1,3,4,2,109,117,Unsatisfied
119,Female,37,Returning,Business,Economy,162,0,21.0,1,1,3,2,1,3,2,4,2,2,3,2,2,3,Neutral or Dissatisfied,119,F,20,Economy,2,2,5,1,4,2,3,113,56,Satisfied
120,Male,40,Returning,Business,Business,3043,38,29.0,2,2,1,4,2,1,4,1,2,3,1,4,1,4,Neutral or Dissatisfied,120,M,21,Business,2,3,1,4,4,2,2,4,66,Unsatisfied
121,Female,38,Returning,Personal,Economy,562,0,6.0,1,2,1,2,2,3,4,3,5,5,3,2,5,2,Neutral or Dissatisfied,121,F,64,Economy,2,1,2,4,5,2,1,12,40,Neutral
122,Male,17,Returning,Personal,Economy,562,3,6.0,4,4,3,4,3,4,3,2,4,4,4,4,4,5,Neutral or Dissatisfied,122,F,68,Economy,2,3,2,5,4,1,4,35,5,Unsatisfied
123,Female,33,Returning,Personal,Economy,562,30,41.0,3,1,1,1,4,2,4,5,4,4,3,1,4,3,Neutral or Dissatisfied,123,F,48,Economy,5,4,5,2,1,5,2,95,113,Satisfied
124,Female,7,Returning,Personal,Economy,562,0,2.0,5,1,4,1,2,5,5,2,2,2,5,1,2,5,Neutral or Dissatisfied,124,F,44,Business,4,4,3,4,3,2,2,25,87,Unsatisfied
125,Male,21,Returning,Personal,Economy,562,103,117.0,5,3,4,3,3,4,5,3,5,5,5,3,5,1,Neutral or Dissatisfied,125,M,35,Premium Economy,2,5,1,5,3,1,3,27,3,Satisfied
126,Male,66,Returning,Personal,Economy,562,88,84.0,5,2,5,2,4,3,5,5,5,5,5,2,5,2,Neutral or Dissatisfied,126,F,29,Economy,1,5,4,2,1,1,3,51,118,Neutral
127,Female,68,Returning,Personal,Economy,562,42,37.0,1,2,1,3,3,3,3,2,4,4,3,2,3,3,Neutral or Dissatisfied,127,F,76,First Class,2,5,4,2,4,3,3,17,54,Unsatisfied
128,Male,65,Returning,Personal,Economy,562,7,15.0,1,2,1,2,4,1,4,1,4,4,3,2,4,4,Neutral or Dissatisfied,128,F,54,Economy,3,5,2,3,2,4,3,25,6,Satisfied
129,Male,67,Returning,Personal,Economy,562,0,0.0,2,4,1,4,4,4,2,3,2,2,3,4,2,4,Neutral or Dissatisfied,129,F,60,Premium Economy,3,4,4,5,3,4,3,114,41,Neutral
130,Female,39,Returning,Business,Business,1868,54,49.0,1,1,3,5,1,4,4,4,4,4,4,1,4,4,Satisfied,130,F,69,First Class,4,5,3,3,4,3,1,84,20,Satisfied
131,Female,28,First-time,Business,Business,562,115,116.0,3,3,1,3,4,1,5,4,5,5,3,3,5,3,Neutral or Dissatisfied,131,M,49,Business,4,5,2,1,1,1,5,105,19,Satisfied
132,Male,59,First-time,Business,Business,227,11,5.0,2,2,4,2,3,4,2,3,2,2,5,2,2,4,Neutral or Dissatisfied,132,M,56,First Class,4,5,1,3,1,1,3,53,63,Unsatisfied
133,Female,26,First-time,Business,Business,227,38,44.0,3,3,2,3,3,2,4,1,3,3,3,3,3,3,Neutral or Dissatisfied,133,F,20,Economy,3,3,1,1,5,4,4,12,96,Unsatisfied
134,Female,33,Returning,Business,Business,227,56,57.0,1,1,4,4,1,5,5,5,5,5,5,1,5,5,Satisfied,134,M,33,Economy,2,1,5,3,5,5,5,77,5,Unsatisfied
135,Male,56,First-time,Business,Business,227,0,0.0,3,3,5,3,1,4,3,3,2,2,5,3,2,4,Neutral or Dissatisfied,135,M,75,Economy,5,3,3,3,3,2,5,35,113,Unsatisfied
136,Female,43,Returning,Business,Business,2029,4,15.0,2,2,4,5,2,4,4,4,4,2,4,2,4,4,Satisfied,136,F,21,Economy,2,5,4,2,2,5,1,47,116,Unsatisfied
